Platform,Year_of_Release,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Developer,Rating,Critic_Score
Wii,2007,Misc,Midway Games,1.47,0.77,0,0.24,2.48,Midway,E,25
X360,2009,Adventure,Disney Interactive Studios,0.14,0.05,0,0.02,0.21,n-Space,E,25
X360,2009,Adventure,Codemasters,0.14,0.01,0,0.01,0.16,Team 17,M,25
Wii,2007,Racing,Midway Games,0.1,0.01,0,0.01,0.12,Midway Studios - San Diego,E,25
XB,2003,Action,Kemco,0.08,0.02,0,0,0.11,HotGen,T,25
DS,2006,Puzzle,Zoo Digital Publishing,0.09,0,0,0.01,0.1,FrontLine Studios,E,25
PS4,2015,Sports,Ubisoft,0,0.05,0,0.01,0.06,HB Studios Multimedia,E,25
X360,2010,Sports,Hudson Soft,0.27,0.04,0,0.02,0.33,AI,E10+,26
PS,2001,Action,Take-Two Interactive,0.17,0.12,0,0.02,0.31,Wildfire Studios,T,26
Wii,2008,Misc,Zoo Games,0.28,0,0,0.02,0.31,Humagade,E10+,26
PS,2000,Fighting,Acclaim Entertainment,0.12,0.08,0,0.01,0.21,Osiris Studios,E,26
DS,2009,Racing,Zoo Digital Publishing,0.14,0,0,0.01,0.15,Destination Software,E,26
X360,2011,Fighting,505 Games,0.1,0.02,0,0.01,0.13,Panic Button,T,26
Wii,2008,Racing,Activision,0.1,0,0,0.01,0.11,Eutechnyx,T,26
Wii,2007,Misc,Atari,0.05,0,0,0,0.05,Atomic Planet Entertainment,E,26
Wii,2009,Adventure,Storm City Games,0.03,0,0,0,0.03,Storm City Games,E,26
XB,2003,Fighting,Metro 3D,0.02,0.01,0,0,0.02,Gameness Art Software,T,26
3DS,2014,Action,Namco Bandai Games,0.01,0.01,0,0,0.02,Bandai Namco Games,E10+,26
XB,N/A,Action,Unknown,0.01,0,0,0,0.01,Lucky Chicken,T,26
Wii,2007,Action,Zoo Digital Publishing,0.32,0,0,0.02,0.35,Destination Software,E10+,27
GBA,2002,Racing,TDK Mediactive,0.22,0.08,0,0.01,0.3,Prolific,E,27
Wii,2007,Action,Warner Bros. Interactive Entertainment,0.21,0.01,0,0.02,0.23,Red Tribe,E10+,27
PS3,2009,Shooter,Bethesda Softworks,0.11,0.01,0,0.01,0.13,Rebellion,M,27
PS2,2002,Action,3DO,0.04,0.03,0,0.01,0.07,3DO,T,27
PS2,2006,Racing,Game Factory,0.03,0.02,0,0.01,0.06,Creat Studios,E10+,27
PS,2000,Action,Infogrames,0.03,0.02,0,0,0.06,SingleTrac,E,27
GC,2003,Action,TDK Mediactive,0.01,0,0,0,0.01,TDK Mediactive,T,27
PSP,N/A,Action,Sega,0.11,0.16,0,0.1,0.37,Shiny Entertainment,E10+,28
PS,2000,Fighting,Midway Games,0.12,0.08,0,0.01,0.21,Midway,M,28
DS,2005,Action,Ubisoft,0.12,0,0,0.01,0.13,Ubisoft Casablanca,T,28
DS,2007,Action,Atari,0.11,0,0,0.01,0.12,Santa Cruz Games,E,28
DS,2004,Misc,THQ,0.1,0,0,0.01,0.11,WayForward,E,28
X360,2010,Misc,THQ,0.07,0.03,0,0.01,0.11,THQ,T,28
X360,2009,Shooter,Bethesda Softworks,0.09,0.01,0,0.01,0.11,Rebellion,M,28
XB,2002,Puzzle,Microsoft Game Studios,0.07,0.02,0,0,0.1,Media Vision,E,28
PSP,2009,Fighting,Namco Bandai Games,0.09,0,0,0.01,0.1,Dimps Corporation,T,28
Wii,2008,Action,Eidos Interactive,0.08,0,0,0.01,0.09,Collision Studios,T,28
Wii,2009,Sports,Zoo Digital Publishing,0.07,0,0,0.01,0.08,Mid Carolina Media,T,28
Wii,2008,Misc,Midway Games,1.28,0.43,0,0.17,1.88,Midway,E,29
GC,2003,Action,Kemco,0.06,0.02,0,0,0.08,Kemco,T,29
X360,2008,Action,Eidos Interactive,0.05,0,0,0,0.06,Red Tribe,T,29
Wii,2008,Sports,Deep Silver,0.96,0.2,0,0.11,1.27,3G Studios,E,30
PS2,2002,Misc,TDK Mediactive,0.14,0.11,0,0.04,0.29,Mass Media,E,30
PS,2001,Action,BAM! Entertainment,0.14,0.1,0,0.02,0.25,VIS Entertainment,E,30
PS,2000,Action,Activision,0.08,0.06,0,0.01,0.15,Paradox Development,E,30
GBA,2004,Action,Hip Interactive,0.1,0.04,0,0,0.14,DC Studios,T,30
X360,2009,Shooter,Eidos Interactive,0.05,0.03,0,0.01,0.09,Rebellion,M,30
PS3,2008,Action,Ignition Entertainment,0.05,0,0,0,0.06,Artoon,M,30
Wii,2007,Misc,Eidos Interactive,0.05,0,0,0,0.05,Sensory Sweep,E,30
XB,2005,Action,Konami Digital Entertainment,0.04,0.01,0,0,0.05,Hothouse Creations,M,30
PS2,2006,Sports,Mastertronic,0.01,0.01,0,0,0.02,"Atomic Planet Entertainment, Mud Duck Productions",E,30
Wii,2008,Sports,XS Games,0.02,0,0,0,0.02,Other Ocean Interactive,E,30
XB,2003,Shooter,Titus,0.01,0,0,0,0.02,Titus Software,M,30
WiiU,2012,Sports,Ubisoft,0.2,0.12,0,0.03,0.36,Ubisoft,E,31
PS3,2008,Sports,Activision,0.16,0,0,0.01,0.17,FUN Labs,E,31
Wii,2009,Shooter,Majesco Entertainment,0.07,0,0,0.01,0.08,Digital Leisure Inc.,T,31
XB,2004,Shooter,Crave Entertainment,0.03,0.01,0,0,0.05,Point of View,T,31
PS2,2002,Racing,Empire Interactive,0.02,0.02,0,0.01,0.04,Empire Interactive,E,31
DS,2008,Simulation,Majesco Entertainment,0.03,0,0,0,0.03,"Gameinvest, Seed Studios, Lda",E,31
Wii,2009,Platform,Oxygen Interactive,0.02,0,0,0,0.03,Twelve Games,E10+,31
PS4,2016,Sports,Avanquest,0,0.02,0,0,0.02,"The Digital Lounge, Dino Dini",,31
DS,2007,Action,THQ,0.02,0,0,0,0.02,THQ,E,31
PS2,2001,Platform,Konami Digital Entertainment,0.6,0.47,0,0.16,1.23,Konami,E,32
X360,2013,Shooter,Activision,0.46,0.11,0,0.05,0.63,Terminal Reality,M,32
X360,2010,Fighting,Ubisoft,0.31,0.23,0,0.06,0.6,Ubisoft,T,32
WiiU,2014,Action,Sega,0.19,0.09,0,0.03,0.31,Big Red Button Entertainment,E10+,32
XB,2002,Fighting,Universal Interactive,0.23,0.07,0,0.01,0.31,Ronin Entertainment,T,32
PS4,2015,Sports,Activision,0.09,0.08,0,0.03,0.21,Robomodo,T,32
PS2,2004,Shooter,Play It,0.08,0.06,0,0.02,0.16,Point of View,T,32
Wii,2009,Misc,505 Games,0.09,0,0,0.01,0.1,505 Games,T,32
DS,2007,Misc,Atari,0.08,0,0,0.01,0.09,Atomic Planet Entertainment,E,32
X360,2014,Action,Deep Silver,0.03,0.04,0,0.01,0.07,Fatshark AB,M,32
PSP,2006,Sports,Oxygen Interactive,0.06,0,0,0.01,0.07,Left Field Productions,E,32
XB,2001,Action,Genki,0.05,0.01,0,0,0.06,Light Weight,M,32
XB,2005,Shooter,Groove Games,0.05,0.01,0,0,0.06,Brainbox Games,M,32
Wii,2007,Sports,SouthPeak Games,0.04,0,0,0,0.05,SouthPeak Games,E,32
PS2,2007,Sports,Spike,0,0,0.03,0,0.03,Spike,E,32
PSV,2012,Action,Activision,0.71,0.43,0.07,0.26,1.47,Nihilistic,M,33
X360,2010,Misc,Warner Bros. Interactive Entertainment,0.36,0.17,0,0.05,0.58,Farsight Studios,E,33
X360,2013,Simulation,Focus Home Interactive,0.22,0.13,0,0.04,0.38,Giants Software,E,33
Wii,2009,Racing,Zoo Digital Publishing,0.2,0,0,0.01,0.22,Beyond Reality,E,33
GC,2002,Action,Atari,0.16,0.04,0,0.01,0.21,Takara,E,33
PS3,2006,Simulation,Namco Bandai Games,0.06,0,0.14,0.01,0.2,Bec,T,33
XB,2002,Misc,TDK Mediactive,0.1,0.03,0,0,0.13,Mass Media,E,33
DS,2010,Action,Warner Bros. Interactive Entertainment,0.11,0.01,0,0.01,0.12,Tantatus,E10+,33
X360,2010,Action,THQ,0.07,0.04,0,0.01,0.12,THQ Australia,E10+,33
GBA,2004,Action,Activision,0.07,0.03,0,0,0.1,Saffire,T,33
PC,2013,Simulation,Koch Media,0,0.08,0,0,0.08,Egosoft,T,33
DS,2005,Racing,Majesco Entertainment,0.07,0,0,0.01,0.08,Skyworks Technologies,E,33
DS,2006,Action,Electronic Arts,0.07,0,0,0.01,0.07,EA Tiburon,E,33
PS2,2007,Misc,Brash Entertainment,0.04,0.03,0,0.01,0.07,Sensory Sweep,E,33
Wii,2008,Shooter,Konami Digital Entertainment,0.06,0,0,0.01,0.07,Leviathan Games,M,33
DS,2007,Fighting,Zoo Digital Publishing,0.06,0,0,0,0.06,Nikitova Games,E10+,33
DS,2011,Action,Activision,0.05,0.01,0,0,0.06,Silicon Knights,E10+,33
X360,2010,Shooter,505 Games,0.05,0,0,0,0.05,"Buka Entertainment, Targem Games",M,33
DS,2007,Simulation,Lexicon Entertainment,0.02,0,0,0,0.03,Dreamcatcher,E,33
XB,2005,Shooter,Kemco,0.02,0,0,0,0.02,Touchdown Entertainment,M,33
DS,2005,Shooter,Konami Digital Entertainment,0.02,0,0,0,0.02,Konami Computer Entertainment Hawaii,E,33
PS,2001,Racing,Take-Two Interactive,0.44,0.3,0,0.05,0.79,Deibus Studios,E,34
PS3,2013,Shooter,Activision,0.28,0.15,0,0.08,0.51,Terminal Reality,M,34
DS,2010,Action,Level 5,0,0,0.47,0,0.47,Teyon,T,34
DS,2008,Misc,Brash Entertainment,0.17,0,0,0.01,0.18,Brash Entertainment,E,34
DS,2009,Action,D3Publisher,0.09,0,0,0.01,0.1,Art,E,34
DS,2005,Fighting,Electronic Arts,0.08,0,0,0.01,0.08,"EA Canada, Sensory Sweep",E10+,34
PS,2000,Adventure,Ubisoft,0.03,0.02,0,0,0.06,Revolution Software,E,34
DS,2006,Adventure,Zoo Digital Publishing,0.04,0,0,0,0.05,SkyRiver Studios,E,34
X360,2006,Puzzle,Konami Digital Entertainment,0.04,0,0,0,0.04,Hudson,T,34
PS2,2005,Adventure,Global Star,0.17,0.13,0,0.04,0.35,"High Voltage Software, Backbone Entertainment",E,35
PS2,2001,Racing,Acclaim Entertainment,0.11,0.09,0,0.03,0.23,Acclaim,T,35
XB,2004,Shooter,Empire Interactive,0.14,0.04,0,0.01,0.18,Blitz Games,M,35
PS,2000,Action,3DO,0.09,0.06,0,0.01,0.17,3DO,T,35
PS2,2003,Shooter,Play It,0.07,0.06,0,0.02,0.15,Black Ops Entertainment,M,35
XB,2003,Action,Atari,0.11,0.03,0,0.01,0.14,Black Ops Entertainment,T,35
X360,2011,Adventure,Ubisoft,0.1,0.02,0,0.01,0.14,Ubisoft,T,35
Wii,2009,Role-Playing,Rising Star Games,0.1,0.01,0.01,0.01,0.14,"K2, Kurogane",T,35
DS,2008,Shooter,Zoo Games,0.1,0,0,0.01,0.11,Big Blue Entertainment,E,35
DS,2005,Racing,Majesco Entertainment,0.1,0,0,0.01,0.11,Skyworks Technologies,E,35
PS3,2009,Shooter,Eidos Interactive,0.04,0.03,0,0.01,0.08,Rebellion,M,35
X360,2009,Shooter,Playlogic Game Factory,0.06,0.01,0,0.01,0.08,Metropolis Software,M,35
DS,2005,Strategy,Namco Bandai Games,0.06,0,0,0,0.07,Box Clever Interactive,E10+,35
Wii,2007,Fighting,Zoo Digital Publishing,0.06,0,0,0,0.06,Nikitova Games,E10+,35
X360,2007,Shooter,Activision,0.05,0,0,0,0.06,Cauldron Ltd.,T,35
XOne,2016,Action,Telltale Games,0.03,0.02,0,0,0.05,The Fun Pimps Entertainment LLC,M,35
GC,2004,Shooter,Empire Interactive,0.03,0.01,0,0,0.05,Blitz Games,M,35
DS,2007,Action,Take-Two Interactive,0.04,0,0,0,0.04,7 Studios,E10+,35
X360,2014,Shooter,Namco Bandai Games,0.02,0.02,0,0,0.04,CI Games,M,35
DS,2005,Sports,Majesco Entertainment,0.04,0,0,0,0.04,Starfish,E,35
GBA,2003,Platform,LSP Games,0.02,0.01,0,0,0.03,LSP,E,35
GBA,2004,Sports,Zoo Digital Publishing,0.02,0.01,0,0,0.03,Prograph,E,35
Wii,2008,Platform,Ignition Entertainment,0.02,0,0,0,0.02,Crave,E,35
XB,2002,Racing,Empire Interactive,0.01,0,0,0,0.02,Supersonic Software,E,35
XB,2006,Racing,Bethesda Softworks,0.01,0,0,0,0.02,Bethesda Softworks,E10+,35
DS,2007,Action,Majesco Entertainment,0.01,0,0,0,0.01,Happy Happening,E10+,35
PC,2008,Shooter,City Interactive,0,0.45,0,0.03,0.49,City Interactive,M,36
PS2,2007,Action,Take-Two Interactive,0.19,0.15,0,0.05,0.39,7 Studios,T,36
GBA,2005,Adventure,Global Star,0.22,0.08,0,0.01,0.3,"High Voltage Software, Backbone Entertainment",E,36
DS,2009,Role-Playing,Hudson Soft,0.07,0.03,0.14,0.01,0.25,Hudson Soft,E,36
XOne,2013,Sports,Electronic Arts,0.16,0.02,0,0.02,0.2,EA Sports,E,36
PS3,2010,Action,Sony Computer Entertainment,0.06,0.09,0.01,0.03,0.2,SCE Japan Studio,E10+,36
PS2,2004,Fighting,Vivendi Games,0.09,0.07,0,0.02,0.18,Genuine Games,M,36
GC,2002,Platform,TDK Mediactive,0.13,0.03,0,0,0.17,Digital Illusions,T,36
PS2,2001,Racing,Acclaim Entertainment,0.08,0.06,0,0.02,0.15,Broadsword Interactive,E,36
PS3,2010,Misc,Unknown,0.13,0,0,0.01,0.14,Seven45 Studios,T,36
DS,2009,Action,Ubisoft,0.12,0,0,0.01,0.13,Ubisoft,E10+,36
X360,2010,Misc,Unknown,0.11,0,0,0.01,0.12,Seven45 Studios,T,36
GC,2002,Racing,Acclaim Entertainment,0.09,0.02,0,0,0.12,Acclaim,E,36
Wii,2011,Action,Activision,0.07,0.02,0,0.01,0.1,Silicon Knights,T,36
PS3,2009,Shooter,Codemasters,0.07,0.01,0,0.01,0.09,Blue Omega,M,36
X360,2010,Sports,Crave Entertainment,0.08,0,0,0.01,0.09,Crave,E10+,36
PS3,2014,Role-Playing,Deep Silver,0.02,0.05,0,0.01,0.08,Piranha Bytes,M,36
PS3,2008,Shooter,Activision,0.07,0,0,0.01,0.07,Activision,T,36
X360,2009,Shooter,Codemasters,0.06,0.01,0,0.01,0.07,Blue Omega,M,36
Wii,2007,Sports,505 Games,0.06,0,0,0.01,0.07,Left Field Productions,E,36
GC,2002,Sports,Konami Digital Entertainment,0.05,0.01,0,0,0.06,KCEO,E,36
XB,2004,Racing,Bethesda Softworks,0.04,0.01,0,0,0.06,Bethesda Softworks,E,36
PSP,2009,Simulation,Graffiti,0.05,0,0,0,0.05,Cowboy Rodeo,T,36
GC,2003,Shooter,Ubisoft,0.03,0.01,0,0,0.03,Ubisoft Shanghai,T,36
PC,2009,Adventure,Ubisoft,0,0.02,0,0,0.02,Longtail Studios,T,36
XB,2006,Shooter,Global Star,0.01,0,0,0,0.02,Team 17,T,36
Wii,2009,Puzzle,Warner Bros. Interactive Entertainment,1.4,0.16,0,0.12,1.68,Farsight Studios,E,37
Wii,2008,Racing,Xplosiv,0.06,0.39,0,0.01,0.47,Razorworks,E,37
PSP,2005,Misc,Activision,0.19,0,0,0.02,0.21,Activision,E10+,37
PS2,2008,Racing,Xplosiv,0.1,0.08,0,0.03,0.2,Razorworks Studios,E,37
Wii,2008,Adventure,Scholastic Inc.,0.15,0,0,0.01,0.16,SScholastic Media,E10+,37
Wii,2009,Sports,Atari,0.15,0,0,0.01,0.16,10tacle Studios,T,37
X360,2007,Shooter,Midway Games,0.1,0.01,0,0.01,0.13,Nfusion,T,37
X360,2011,Shooter,505 Games,0.09,0.02,0,0.01,0.12,Zombie Studios,T,37
PSP,2007,Action,Ubisoft,0.1,0,0,0.01,0.11,Ubisoft Montreal,E10+,37
XB,2004,Fighting,Vivendi Games,0.08,0.02,0,0,0.11,Genuine Games,M,37
PC,2010,Action,Electronic Arts,0.08,0.02,0,0.01,0.1,EA Bright Light,T,37
X360,2010,Shooter,Tecmo Koei,0.06,0.02,0,0.01,0.09,Tecmo,M,37
PS,2000,Shooter,Atari,0.04,0.03,0,0,0.08,n-Space,M,37
Wii,2009,Racing,Bethesda Softworks,0.01,0.05,0,0.01,0.07,Awesome Play Ltd.,E,37
PS2,2007,Racing,Midway Games,0.03,0.03,0,0.01,0.07,Creat Studios,M,37
Wii,2006,Action,Eidos Interactive,0.04,0.01,0.01,0,0.06,Spike,M,37
Wii,2007,Fighting,Game Factory,0.06,0,0,0,0.06,Neko Entertainment,T,37
GBA,2004,Puzzle,Majesco Entertainment,0.04,0.01,0,0,0.06,Radius9,E,37
PS2,2002,Adventure,3DO,0.03,0.02,0,0.01,0.05,3DO,T,37
DS,2006,Action,From Software,0.03,0,0.01,0,0.05,From Software,T,37
XB,2002,Sports,Codemasters,0.03,0.01,0,0,0.05,Atomic Planet Entertainment,T,37
Wii,2008,Misc,Majesco Entertainment,0.04,0,0,0,0.05,Coyote Console,E,37
Wii,2008,Sports,Atari,0.04,0,0,0,0.04,Humongous Entertainment,E,37
PSP,2007,Action,Conspiracy Entertainment,0.04,0,0,0,0.04,Conspiracy Entertainment,M,37
X360,2012,Fighting,Cloud Imperium Games Corporation,0.04,0,0,0,0.04,"Pipeworks Software, Inc.",M,37
PSP,2007,Puzzle,Crave Entertainment,0.03,0,0,0,0.04,7 Studios,E10+,37
DS,2008,Puzzle,Zoo Digital Publishing,0.01,0,0,0,0.01,Next Wave Team,E,37
PS2,2006,Misc,Xplosiv,0.01,0,0,0,0.01,Jack of All Games,E,37
Wii,2008,Sports,Take-Two Interactive,0.86,0.54,0,0.15,1.56,Cat Daddy Games,E,38
PS2,2002,Sports,Electronic Arts,0.36,0.9,0,0.27,1.52,The Code Monkeys,T,38
GBA,2002,Action,THQ,0.55,0.2,0,0.01,0.77,David A. Palmer Productions,E,38
PS2,2003,Action,Atari,0.28,0.22,0,0.07,0.58,Black Ops Entertainment,T,38
X360,2010,Action,Electronic Arts,0.21,0.2,0,0.04,0.45,EA Bright Light,T,38
PS3,2010,Action,Electronic Arts,0.13,0.2,0,0.07,0.39,EA Bright Light,T,38
PS2,2007,Action,Warner Bros. Interactive Entertainment,0.19,0.15,0,0.05,0.38,Red Tribe,E10+,38
X360,2008,Misc,Konami Digital Entertainment,0.25,0,0,0.02,0.27,"Zoe Mode, HB Studios Multimedia",T,38
PS2,2008,Action,Vivendi Games,0.12,0.1,0,0.03,0.25,Eurocom Entertainment Software,T,38
X360,2007,Action,Microsoft Game Studios,0.18,0,0.01,0.01,0.21,Artoon,M,38
X360,2010,Sports,Ubisoft,0.08,0.08,0,0.02,0.18,Ubisoft Vancouver,E,38
DS,2005,Racing,Electronic Arts,0.15,0.02,0,0.01,0.18,Visual Impact,E,38
Wii,2009,Action,505 Games,0.11,0.01,0.05,0.01,0.18,"Eighting, Takara Tomy",E10+,38
PSP,2010,Misc,Ubisoft Annecy,0.07,0.02,0.07,0.02,0.18,"Team Ninja, Tecmo",M,38
PS4,2013,Platform,System 3,0.06,0.07,0,0.03,0.16,System 3,E10+,38
PS2,2001,Racing,BAM! Entertainment,0.08,0.06,0,0.02,0.15,Bam Entertainment,T,38
X360,2011,Action,Sega,0.09,0.04,0,0.01,0.14,Liquid Entertainment,T,38
DS,2007,Adventure,Zoo Digital Publishing,0.13,0,0,0.01,0.14,Atomic Planet Entertainment,E,38
DS,2006,Misc,505 Games,0.13,0,0,0.01,0.14,Astroll,E,38
X360,2012,Misc,Capcom,0.08,0.02,0.02,0.01,0.13,From Software,M,38
X360,2006,Racing,Activision,0.1,0,0,0.01,0.11,Eutechnyx,T,38
X360,2009,Shooter,Evolved Games,0.08,0.01,0,0.01,0.09,Atomic Motion,T,38
DS,2008,Misc,DSI Games,0.08,0,0,0.01,0.08,ECI,E,38
Wii,2006,Shooter,Ubisoft,0.06,0.01,0,0.01,0.08,Ubisoft Montreal,M,38
X360,2006,Fighting,Majesco Entertainment,0.06,0.01,0,0.01,0.07,Genki,M,38
XB,2004,Strategy,Activision Value,0.05,0.01,0,0,0.06,Activision Value,T,38
DS,2005,Puzzle,Atari,0.04,0,0,0,0.05,Taito Corporation,E,38
X360,2010,Shooter,Majesco Entertainment,0.04,0,0,0,0.04,Panic Button,T,38
GBA,2002,Action,THQ,0.03,0.01,0,0,0.04,Creations,E,38
PSP,2007,Fighting,Game Factory,0.03,0,0,0,0.03,Neko Entertainment,T,38
PS2,2002,Sports,Konami Digital Entertainment,0.01,0.01,0,0,0.02,Konami,T,38
XB,2005,Racing,Take-Two Interactive,0.01,0,0,0,0.02,Deibus Studios,T,38
DS,2007,Simulation,DSI Games,0.02,0,0,0,0.02,SkyRiver Studios,E10+,38
PS3,2013,Sports,D3Publisher,0,0.01,0,0,0.02,Monkey Bar Games,E,38
X360,2011,Misc,Activision,0.87,0,0,0.06,0.93,Activision,E10+,39
GBA,2004,Adventure,Disney Interactive Studios,0.54,0.2,0,0.01,0.76,Vicarious Visions,E,39
PS,2000,Action,Eidos Interactive,0.23,0.15,0.29,0.05,0.71,Capcom,M,39
PS2,2006,Shooter,Eidos Interactive,0.35,0.01,0,0.06,0.42,"Ritual Entertainment, Avalanche Software",M,39
GC,2002,Platform,THQ,0.29,0.07,0,0.01,0.37,Radical Entertainment,E,39
GBA,2003,Action,THQ,0.25,0.09,0,0.01,0.35,Pocket Studios,E,39
X360,2012,Action,Activision,0.14,0.09,0,0.02,0.25,Heavy Iron Studios,M,39
PS2,2004,Adventure,THQ,0.11,0.09,0,0.03,0.23,Blue Tongue,E,39
DS,2008,Sports,Activision,0.19,0,0,0.02,0.21,Creat Studios,E,39
PS3,2011,Shooter,Unknown,0.17,0,0,0.02,0.18,Teyon,T,39
PS3,2010,Adventure,Ubisoft,0.11,0.05,0,0.02,0.18,Telltale Games,M,39
Wii,2008,Adventure,Atari,0.09,0.08,0,0.02,0.18,Hydravision,M,39
GC,2005,Adventure,Global Star,0.14,0.04,0,0,0.18,"High Voltage Software, Backbone Entertainment",E,39
GBA,2001,Sports,BAM! Entertainment,0.12,0.05,0,0,0.17,Sennari Interactive,E,39
DS,2005,Puzzle,505 Games,0.14,0,0,0.01,0.15,Interchannel,E,39
X360,2011,Action,DTP Entertainment,0.08,0.05,0,0.01,0.15,Kylotonn,M,39
PS3,2011,Action,Sega,0.07,0.05,0,0.02,0.14,Liquid Entertainment,T,39
PS2,2001,Action,3DO,0.06,0.05,0,0.02,0.13,3DO,T,39
PS3,2008,Sports,Activision Value,0.12,0,0,0.01,0.13,FUN Labs,T,39
X360,2006,Action,D3Publisher,0.11,0.01,0,0.01,0.13,Tamsoft,M,39
XOne,2015,Sports,Activision,0.09,0.02,0,0.01,0.12,Robomodo,T,39
PS2,2005,Shooter,Playlogic Game Factory,0.06,0.05,0,0.02,0.12,WideScreen Games,T,39
PS2,2009,Action,D3Publisher,0.06,0.04,0,0.01,0.11,Papaya Studios,E10+,39
DS,2007,Action,Ubisoft,0.1,0,0,0.01,0.11,Blue Byte,E,39
XB,2005,Adventure,Global Star,0.08,0.02,0,0,0.11,"High Voltage Software, Backbone Entertainment",E,39
Wii,2009,Action,Rising Star Games,0.07,0.01,0.01,0.01,0.1,FeelPlus,M,39
Wii,2010,Shooter,Majesco Entertainment,0.09,0,0,0.01,0.1,"Majesco Games, Majesco",T,39
GC,2001,Misc,Kemco,0.08,0.02,0,0,0.1,Kemco,T,39
Wii,2008,Action,Vivendi Games,0.08,0,0,0.01,0.09,Eurocom Entertainment Software,T,39
PS2,2001,Shooter,Swing! Entertainment,0.04,0.03,0,0.01,0.08,Toka,T,39
GC,2002,Misc,Electronic Arts,0.04,0.01,0,0,0.05,Neverland,E,39
X360,2007,Sports,Activision Value,0.04,0,0,0,0.05,FUN Labs,T,39
Wii,2007,Action,Take-Two Interactive,0.04,0.01,0,0,0.05,7 Studios,T,39
DS,2006,Shooter,Activision,0.03,0,0,0,0.04,Nightlight Studios,E10+,39
DS,2006,Action,505 Games,0.03,0,0,0,0.03,"Taito Corporation, 505 Games",E,39
DS,2009,Adventure,DreamCatcher Interactive,0.02,0,0,0,0.02,Dreamcatcher,E,39
DS,2007,Shooter,Phoenix Games,0.02,0,0,0,0.02,Phenomedia,E10+,39
DS,2009,Action,Zushi Games,0,0.02,0,0,0.02,PAWS,E,39
PC,2009,Shooter,Evolved Games,0.02,0,0,0,0.02,Atomic Motion,T,39
GBA,2003,Fighting,Atari,0.77,0.29,0,0.02,1.08,Webfoot Technologies,T,40
X360,2010,Sports,Ubisoft,0.38,0.25,0,0.06,0.69,Ubisoft Milan,T,40
PS3,2007,Action,Sega,0.14,0.1,0,0.05,0.28,Shiny Entertainment,E10+,40
PS3,2012,Action,Activision,0.12,0.1,0,0.04,0.26,Heavy Iron Studios,M,40
PS,1999,Action,Electronic Arts,0.12,0.08,0,0.01,0.21,Kodiak Interactive,T,40
X360,2010,Action,Deep Silver,0.07,0.11,0,0.02,0.21,ZootFly,T,40
GBA,2004,Action,Atari,0.15,0.05,0,0,0.2,Full Fat,E,40
XB,2003,Racing,Bethesda Softworks,0.15,0.04,0,0.01,0.2,Bethesda Softworks,E,40
X360,2010,Simulation,505 Games,0.08,0.07,0,0.02,0.17,Artech Studios,T,40
DS,2005,Puzzle,505 Games,0.14,0,0,0.01,0.15,Interchannel,E,40
PS3,2013,Simulation,Focus Home Interactive,0,0.09,0.02,0.02,0.14,Giants Software,E,40
X360,2010,Racing,Activision,0.09,0.01,0,0.01,0.11,Sidhe Interactive,M,40
GC,2004,Adventure,THQ,0.08,0.02,0,0,0.11,Blue Tongue Entertainment,E,40
